original_index,original_guide,related_index_1,related_index_2,related_index_3,related_index_4,related_index_5
875,your new job start date is postponed after you have already resigned,369,824,,,
876,your online banking shows a zero balance and you suspect a system outage,730,716,,,
877,your online card payments are being declined due to an address verification mismatch,766,767,,,
878,your online memorial page is being targeted by trolls or scammers,538,212,,,
879,your oven or stove will not turn off and you are worried it is unsafe,151,839,,,
880,your overtime or shift premiums are missing from your pay,779,890,,,
881,your passport expires too soon for your travel plans,884,540,,,
882,your passport has no blank pages left for travel,881,540,,,
883,your passport is damaged and you are worried it will be rejected for travel,884,887,,,
884,your passport is flagged as cancelled or invalid in a database while you have it,883,708,,,
885,your passport is held by an embassy or consulate and you have urgent travel plans,540,944,,,
886,your passport is stolen while you are abroad and you still need to travel onward,540,256,,,
887,your passport will not scan at an airport self-service kiosk or gate,183,883,,,
888,your password manager stops unlocking and you cannot access your saved logins,96,388,,,
889,your password works on one device but is rejected on another for the same account,322,711,,,
890,your pay does not arrive on payday,838,831,,,
891,your pay statement shows an unexpected deduction you do not recognise,826,880,,,
892,your payment app account is locked and you have money stuck inside,720,322,,,
893,your pet’s travel health certificate date window does not match your departure date,375,708,,,
894,your phone backup fails and you are about to reset or replace the device,87,427,,,
895,your phone battery is low and your ticket or access pass is only on your phone,768,874,,,
896,your phone dies and you cannot unlock or start your vehicle,895,952,,,
897,your phone is lost or broken abroad and your travel bookings are inaccessible,323,874,,,
898,your phone is missing and the location tracking shows an unexpected place,899,900,,,
899,your phone is stolen and you are worried about account access,900,526,,,
900,your phone or wallet is lost and your cards are exposed to misuse,899,764,,,
901,your phone shows a sudden spike in data usage and you fear an unknown upload is running,778,706,,,
902,your phone shows emergency-calls-only or no service when you know coverage is normal,904,751,,,
903,"your phone storage is full and it stops saving photos, videos, or messages",777,894,,,
904,your phone suddenly shows No SIM and your number stops working,526,683,,,
905,your photo library has duplicates and you are worried about deleting the originals,28,906,,,
906,your photo library shows optimising and your photos look missing or low-quality,905,894,,,
907,your plug-in hybrid has a fault mode or reduced power warning,811,106,,,
908,"your porch, balcony, or deck feels like it is pulling away from the building",125,372,,,
909,"your prebooked airport, ferry, or rail transfer does not arrive and you are under time pressure",840,915,,,
910,your probation or supervision officer says you may be in violation and wants to meet urgently,651,812,,,
911,your probation period is being extended unexpectedly,329,820,,,
912,your professional certification or license is expiring soon and you cannot renew it in time,320,830,,,
913,your recently deleted folder is empty and you did not empty it,251,427,,,
914,your rent or mortgage payment is marked unpaid even though you have proof it was sent,1,456,,,
915,your rental car reservation is cancelled at pickup and you need transport urgently,11,109,,,
916,your replacement bank card has not arrived and your current card is deactivated,722,153,,,
917,your residence permit card expires while you are abroad and you need to return home,616,708,,,
918,your retirement or pension payment is stopped for identity verification,648,645,,,
919,your ride-hailing account is suspended when you need to book urgent transport,13,915,,,
920,your router resets unexpectedly and all your connected devices lose internet at once,850,921,,,
921,your router settings show remote administration was turned on and you did not enable it,922,850,,,
922,your router shows many unknown devices connected to your network,921,850,,,
923,your screen shows repeated allow access prompts for apps you did not open,149,799,,,
924,your seat assignment disappears at the gate and you are told to wait,841,842,,,
925,your septic system alarm goes off or the control panel shows a warning,202,181,,,
926,your shower or tub will not turn off and water is running continuously,245,866,,,
927,your smartwatch flags an unusually low heart rate and you feel faint,465,432,,,
928,your social media account is hacked or posting content you did not create,44,711,,,
929,your social media account is suddenly locked or suspended and you cannot reach support quickly,928,322,,,
930,your steering suddenly feels much heavier and you have pulled over safely to assess it,106,954,,,
931,your steering wheel lock will not release and the car will not start,952,762,,,
932,your stools turn very pale while your urine becomes very dark,406,500,,,
933,your student loan automatic payment fails because your bank details are incorrect or outdated,626,653,,,
934,your sunroof is stuck open and rain is forecast,760,945,,,
935,your surviving parent is overwhelmed after a death and you need urgent support for them,515,203,,,
936,"your tap water suddenly turns brown, smells unusual, or looks unsafe to drink",685,748,,,
937,your tax refund is being taken to pay a debt you did not expect,728,519,,,
938,your temperature is unusually low while you are ill and you feel confused or disoriented,483,432,,,
939,your thermostat screen goes blank or shows an error and your heating or cooling won’t start,849,786,,,
940,"your train, subway, or tram stops unexpectedly and you are not getting information",132,379,,,
941,your travel booking was changed to a different departure time without your consent,609,842,,,
942,your travel companion loses their passport and you need to manage bookings and plans immediately,886,521,,,
943,your travel document is locked in a luggage storage locker that will not open,944,575,,,
944,your travel documents are locked in a room or bag you cannot access due to a dispute,943,145,,,
945,your trunk or hatch will not close and you need to travel with luggage,759,760,,,
946,your turn signals or indicators stop working before you set off,846,740,,,
947,your tyre is losing air slowly and you need to find help,136,420,,,
948,your urinary catheter has stopped draining and you feel bladder pressure building,390,488,,,
949,your user profile loads blank and your desktop files appear to be missing,166,837,,,
950,your vehicle alarm will not stop and you are worried about the battery or conflict,856,758,,,
951,your vehicle gets stuck in an automated car wash or automated parking system,374,761,,,
952,your vehicle security system or immobiliser prevents the engine from starting,931,762,,,
953,your vehicle starts but the accelerator pedal is unresponsive while you are in a safe place,106,757,,,
954,your vehicle starts vibrating strongly while you are driving,503,508,,,
955,your visa or entry permission start date is later than your arrival date,708,337,,,
956,your voicemail PIN or greeting has changed and you did not update it,463,751,,,
957,your washing machine is leaking and water is spreading across the floor,804,866,,,
958,your water meter is moving even though all taps and appliances are off,247,446,,,
959,your water softener or filtration unit is overflowing and there is water near electrical equipment,672,866,,,
960,your webcam light turns on unexpectedly,706,620,,,
961,your website suddenly shows a security or certificate warning and you did not change anything,962,805,,,
962,your website’s DNS records change unexpectedly and traffic is being diverted to the wrong place,805,961,,,
963,your wheelchair caster or wheel starts wobbling and you need to keep moving safely,965,964,,,
964,your wheelchair or mobility aid is damaged during transport and you still need to travel,752,963,,,
965,your wheelchair tyre goes flat or a wheel locks up while you are away from home,963,964,,,
966,your whole home loses power and you are unsure if it is a local outage,528,102,,,
967,your windows are fogging up and indoor dampness and mould are appearing,675,558,,,
968,your windshield or windscreen has cracked while you are driving,969,760,,,
969,your windshield washer jets stop spraying and you need to restore visibility to drive safely,968,846,,,
970,your work expense card is frozen or declined while you are travelling,290,722,,,
971,your work schedule changes to nights or weekends with little warning,362,712,,,
972,your workplace closes suddenly and you cannot get clear information about your final pay,818,838,,,
973,your workplace is not responding to sexual harassment and the behaviour is getting worse,178,336,,,
974,your workplace retirement contributions have not been paid into your plan,818,890,,,
